City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Saint-Louis,SN,78.44,clear sky,16.3333,-15.0,
536,Ormara,PK,77.45,scattered clouds,25.2088,64.6357,Kenara Colony house for Rent
537,Bubaque,GW,76.78,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
539,Puerto El Triunfo,SV,84.49,overcast clouds,13.2833,-88.55,Hotel Jardin
543,Bac Lieu,VN,76.1,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
544,Yeppoon,AU,76.78,broken clouds,-23.1333,150.7333,Villa Mar Colina
549,Awbari,LY,81.01,clear sky,26.5921,12.7805,فندق أوباري
550,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
553,Orocue,CO,82.51,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
555,Grand-Lahou,CI,81.1,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
557,Avera,US,76.51,overcast clouds,33.194,-82.5271,
559,Miramar,US,79.02,scattered clouds,25.9873,-80.2323,Stadium Hotel
560,Umarkot,PK,75.7,scattered clouds,25.3616,69.7362,Al-Qamar Boys Hostel
562,Ende,ID,78.69,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
564,Pandan,PH,79.45,overcast clouds,14.0453,124.1694,Bonifacio Lodge
565,Filingue,NE,88.5,overcast clouds,14.3521,3.3168,
566,Le Moule,GP,78.84,clear sky,16.3332,-61.3473,Lakaz Hananou
568,Nioro,GM,79.74,clear sky,13.35,-15.75,
570,Kihei,US,79.97,overcast clouds,20.785,-156.4656,Maui Sunset
573,Ranong,TH,75.97,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
574,Chimichagua,CO,78.91,overcast clouds,9.2578,-73.8123,Hospital Imaculada
577,Angoche,MZ,77.68,clear sky,-16.2325,39.9086,Guest House HESADA
581,Contamana,PE,81.25,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
584,Tres Lagoas,BR,79.0,light rain,-20.7511,-51.6783,Druds Express Hotel
585,Laguna,US,76.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
591,Dhidhdhoo,MV,82.6,broken clouds,6.8833,73.1,Dhidhoo beach
593,Mbandaka,CD,75.9,scattered clouds,0.0487,18.2603,Guest House Epervier
597,Tecoanapa,MX,82.63,clear sky,16.5167,-98.75,Hotel Manglares
599,Porto Seguro,BR,81.12,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
600,Mabaruma,GY,75.27,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
601,Rodrigues Alves,BR,86.2,overcast clouds,-7.738,-72.6509,Pousada Aconchego
604,Osmena,PH,82.26,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
609,Dangriga,BZ,81.01,clear sky,16.9692,-88.2321,Chaleanor Hotel
610,Ugoofaaru,MV,82.85,broken clouds,5.6667,73.0,Ungoofaaru Inn
613,Bannu,PK,76.39,scattered clouds,32.9854,70.6027,Oxford Hostel
614,Caravelas,BR,76.6,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
615,Mataram,ID,76.01,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
629,Ngama,TD,88.29,broken clouds,11.7833,17.1667,
630,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
632,Dingle,PH,78.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
633,Pontian Kecil,MY,75.52,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
635,Massakory,TD,86.74,scattered clouds,12.996,15.7293,
641,Banda Aceh,ID,78.21,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
642,Wukari,NG,85.05,overcast clouds,7.85,9.7833,Elimtop
643,Labuhan,ID,76.57,scattered clouds,-6.8844,112.2051,DoubleFAG
645,Adilabad,IN,85.35,few clouds,19.6667,78.5333,Dwaraka Hotel.
646,Hope,US,78.08,overcast clouds,33.6671,-93.5916,Best Western Hope
648,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
651,Kuliyapitiya,LK,78.48,broken clouds,7.4688,80.0401,Rest House
661,Bundaberg,AU,79.21,clear sky,-24.85,152.35,Takalvan Motel
662,Hobyo,SO,80.6,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
666,Carutapera,BR,76.8,overcast clouds,-1.195,-46.02,Lidera
669,Jimenez,MX,87.24,scattered clouds,28.3333,-105.4,El torreon
671,Ridgecrest,US,85.86,scattered clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
673,Mitsamiouli,KM,81.18,clear sky,-11.3847,43.2844,Foyer ADM
677,Conde,BR,76.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
678,Belmonte,BR,77.27,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
684,Bhandara,IN,83.79,few clouds,21.1667,79.65,STARiHOTELS Bhandara
685,Juan Aldama,MX,80.22,overcast clouds,24.2908,-103.3944,Hotel Morales
687,Saquena,PE,79.48,overcast clouds,-4.6667,-73.5167,
689,Luganville,VU,80.55,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
690,Puerto Escondido,MX,84.47,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
692,Karratha,AU,81.75,clear sky,-20.7377,116.8463,ibis Styles Karratha
693,Mandalgarh,IN,77.95,clear sky,25.2,75.1,दुर्गा टेंट हाऊस
696,Kantabanji,IN,79.63,few clouds,20.4833,82.9167,Kamdhenu Borewell And Trading
697,Berbera,SO,80.28,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
700,Santa Ana,US,82.4,clear sky,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
